id,user_id,username,action,target_table,record_id,details,ip_address,created_at
1693,1,Darius,DELETE,exclusion_summary,64,"Bulk deleted exclusion record: yy — yy (excluded)",SDP-DP-115,"2026-04-13 01:10:32"
1694,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-04-13 01:48:40"
1695,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-13 02:06:30"
1696,1,Darius,UPDATE,calibration_report,3186,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-04-13 | Next: 2027-04-13",SDP-DP-115,"2026-04-13 02:10:16"
1698,1,Darius,UPDATE,calibration_report,3186,"Updated: zzzzztesttttt | Code: zz | Status: Good",SDP-DP-115,"2026-04-13 02:14:01"
1699,1,Darius,UPDATE,calibration_report,3186,"Status changed to 'Not Yet Calibrated': zzzzztesttttt | Code: zz",SDP-DP-115,"2026-04-13 02:14:08"
1701,1,Darius,UPDATE,calibration_report,3186,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-04-13 | Next: 2027-04-13",SDP-DP-115,"2026-04-13 02:14:25"
1704,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-04-13 03:00:40"
1705,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-13 03:13:20"
1706,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-04-13 03:48:40"
1707,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-13 06:39:09"
1708,1,Darius,UPDATE,calibration_report,2869,"Marked done: Insulation Voltage Jig | Code: ISJG.18 | Cal Date: 2026-04-13 | Next: 2027-04-13",SDP-DP-115,"2026-04-13 06:40:43"
1710,1,Darius,UPDATE,calibration_report,3186,"Updated: zzzzztesttttt | Code: zz | Status: Good",SDP-DP-115,"2026-04-13 06:41:07"
1711,1,Darius,UPDATE,calibration_report,3186,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-04-13 | Next: 2027-04-13",SDP-DP-115,"2026-04-13 06:41:20"
1713,1,Darius,UPDATE,calibration_report,3186,"Updated: zzzzztesttttt | Code: zz | Status: Good",SDP-DP-115,"2026-04-13 06:41:47"
1715,1,Darius,UPDATE,calibration_report,3186,"Updated: zzzzztesttttt | Code: zz | Status: Not Yet Calibrated",SDP-DP-115,"2026-04-13 06:43:40"
1716,1,Darius,UPDATE,calibration_report,3186,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-04-13 | Next: 2027-04-13",SDP-DP-115,"2026-04-13 06:43:49"
1718,1,Darius,UPDATE,inspection_report,331,"Marked done: yy | Code: yy | Result: Missing | Next: 2027-04-01",SDP-DP-115,"2026-04-13 06:52:51"
1720,1,Darius,EDIT,inspection_report,331,"Edited yy: Result: ""Missing"" → ""Good""",SDP-DP-115,"2026-04-13 06:53:20"
1722,1,Darius,UPDATE,calibration_report,3186,"Updated: zzzzztesttttt | Code: zz | Status: Not Yet Calibrated",SDP-DP-115,"2026-04-13 06:53:36"
1723,1,Darius,UPDATE,calibration_report,3186,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-04-13 | Next: 2027-04-13",SDP-DP-115,"2026-04-13 06:53:44"
1725,1,Darius,UPDATE,calibration_report,3186,"Updated: zzzzztesttttt | Code: zz | Status: Good",SDP-DP-115,"2026-04-13 06:53:52"
1726,1,Darius,UPDATE,calibration_report,3186,"Updated: zzzzztesttttt | Code: zz | Status: Not Yet Calibrated",SDP-DP-115,"2026-04-13 06:53:59"
1727,1,Darius,UPDATE,calibration_report,3186,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-04-13 | Next: 2027-04-13",SDP-DP-115,"2026-04-13 06:54:13"
1729,1,Darius,UPDATE,calibration_report,3186,"Updated: zzzzztesttttt | Code: zz | Status: Good",SDP-DP-115,"2026-04-13 06:55:49"
1731,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-13 07:06:06"
1732,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-04-13 07:06:08"
1733,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-13 07:07:45"
1734,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-13 07:07:52"
